VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,description
2,2020-12-01 00:38:53,2020-12-01 00:45:58,1,1.56,1,N,140,236,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,random destip*#
2,2020-12-01 00:32:09,2020-12-01 00:57:15,1,17.34,2,N,132,229,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5,random destip*#
2,2020-12-01 00:26:05,2020-12-01 00:29:13,1,.60,1,N,170,233,1,4.5,0.5,0.5,2,0,0.3,10.3,2.5,random destip*#
1,2020-12-01 00:21:57,2020-12-01 00:26:11,1,.90,1,N,249,90,1,5.5,3,0.5,1.85,0,0.3,11.15,2.5,random destip*#
1,2020-12-01 00:46:51,2020-12-01 00:55:00,1,2.00,1,N,137,230,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,random destip*#
2,2020-11-30 23:56:03,2020-11-30 23:59:31,1,.59,1,N,48,50,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5,random destip*#
1,2020-12-01 00:59:39,2020-12-01 01:22:52,2,5.60,1,N,264,147,2,20,3,0.5,0,0,0.3,23.8,2.5,random destip*#
1,2020-12-01 00:55:23,2020-12-01 01:29:19,1,.00,1,N,42,76,1,42.2,0,0.5,0,6.12,0.3,49.12,0,random destip*#
2,2020-12-01 00:07:50,2020-12-01 00:16:17,1,1.82,1,N,142,141,1,8.5,0.5,0.5,2,0,0.3,14.3,2.5,random destip*#
2,2020-12-01 00:54:38,2020-12-01 00:56:27,1,.24,1,N,236,75,2,3.5,0.5,0.5,0,0,0.3,4.8,0,random destip*#
2,2020-12-01 00:04:38,2020-12-01 00:13:29,1,2.24,1,N,114,170,2,9,0.5,0.5,0,0,0.3,12.8,2.5,random destip*#
2,2020-12-01 00:31:06,2020-12-01 00:38:45,2,3.18,1,N,229,74,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5,random destip*#
2,2020-12-01 00:22:20,2020-12-01 00:23:52,1,.33,1,N,116,152,2,3.5,0.5,0.5,0,0,0.3,4.8,0,random destip*#
2,2020-12-01 00:34:36,2020-12-01 00:37:23,1,1.22,1,N,50,246,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5,random destip*#
2,2020-12-01 00:24:44,2020-12-01 00:26:25,3,.65,1,N,90,249,1,4,0.5,0.5,1,0,0.3,8.8,2.5,random destip*#
2,2020-12-01 00:43:45,2020-12-01 00:58:01,1,7.90,1,N,132,86,1,23,0.5,0.5,4.86,0,0.3,29.16,0,random destip*#
2,2020-12-01 00:10:29,2020-12-01 00:27:04,3,4.49,1,N,237,223,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5,random destip*#
2,2020-12-01 00:51:14,2020-12-01 01:14:25,3,13.70,1,N,79,220,2,38,0.5,0.5,0,0,0.3,41.8,2.5,random destip*#
1,2020-12-01 00:26:55,2020-12-01 00:40:40,1,9.40,1,N,138,10,1,26,0.5,0.5,3,0,0.3,30.3,0,random destip*#
2,2020-12-01 00:17:42,2020-12-01 00:23:01,1,2.37,1,N,170,263,2,8,0.5,0.5,0,0,0.3,11.8,2.5,random destip*#
2,2020-12-01 00:45:55,2020-12-01 01:12:02,2,18.44,2,N,132,79,2,52,0,0.5,0,0,0.3,55.3,2.5,random destip*#
2,2020-11-30 23:43:05,2020-11-30 23:50:07,1,2.07,1,N,170,158,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5,random destip*#
2,2020-11-30 23:59:33,2020-12-01 00:09:32,1,2.00,1,N,231,79,2,9,0.5,0.5,0,0,0.3,12.8,2.5,random destip*#
2,2020-12-01 00:05:58,2020-12-01 00:30:40,6,7.48,1,N,141,140,1,27,0.5,0.5,2,0,0.3,32.8,2.5,random destip*#
1,2020-12-01 00:00:33,2020-12-01 00:06:01,2,1.20,1,Y,142,239,1,6.5,3,0.5,2.55,0,0.3,12.85,2.5,random destip*#
1,2020-12-01 00:29:23,2020-12-01 00:35:21,1,1.70,1,N,233,224,2,7,3,0.5,0,0,0.3,10.8,2.5,random destip*#
2,2020-12-01 00:25:03,2020-12-01 00:55:44,6,18.64,2,N,132,143,2,52,0,0.5,0,6.12,0.3,61.42,2.5,random destip*#
2,2020-12-01 00:39:09,2020-12-01 00:41:51,1,1.24,1,N,75,74,2,5.5,0.5,0.5,0,0,0.3,6.8,0,random destip*#
1,2020-12-01 00:19:41,2020-12-01 00:25:12,1,1.90,1,N,164,158,2,7.5,3,0.5,0,0,0.3,11.3,2.5,random destip*#
2,2020-12-01 00:34:19,2020-12-01 00:55:55,6,17.73,2,N,132,232,1,52,0,0.5,11.06,0,0.3,66.36,2.5,random destip*#
2,2020-12-01 00:58:32,2020-12-01 01:05:21,6,3.19,1,N,79,88,2,11,0.5,0.5,0,0,0.3,14.8,2.5,random destip*#
2,2020-12-01 00:31:21,2020-12-01 00:31:33,1,.00,2,N,137,137,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5,random destip*#
2,2020-12-01 00:11:53,2020-12-01 00:30:34,2,10.36,1,N,138,79,2,29,0.5,0.5,0,0,0.3,32.8,2.5,random destip*#
2,2020-12-01 00:32:35,2020-12-01 00:45:25,2,5.20,1,N,79,236,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5,random destip*#
1,2020-12-01 00:07:02,2020-12-01 00:11:23,1,.50,1,N,68,48,3,5,3,0.5,0,0,0.3,8.8,2.5,random destip*#
2,2020-12-01 00:33:42,2020-12-01 01:10:07,1,16.74,1,N,68,259,1,49,0.5,0.5,5,0,0.3,57.8,2.5,random destip*#
2,2020-12-01 00:00:05,2020-12-01 00:05:51,2,1.85,1,N,137,148,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5,random destip*#
2,2020-12-01 00:34:58,2020-12-01 00:40:41,2,1.68,1,N,75,238,1,7,0.5,0.5,1.66,0,0.3,9.96,0,random destip*#
